code,term,dmd_id
29903211000001100,,29903211000001100
29903311000001108,,29903311000001108
29903411000001100,,29903411000001100
29902111000001100,,29902111000001100
29902411000001104,,29902411000001104
29902711000001104,,29902711000001104
319740004,,319740004
738511000001103,,738511000001103
319745009,,319745009
3780911000001106,,3780911000001106
3781211000001108,,3781211000001108
3781411000001107,,3781411000001107
319746005,,319746005
3782011000001106,,3782011000001106
3782311000001109,,3782311000001109
3782511000001103,,3782511000001103
319747001,,319747001
3783211000001107,,3783211000001107
3783611000001109,,3783611000001109
3783811000001108,,3783811000001108
24351511000001104,,24351511000001104
24226511000001104,,24226511000001104
319733000,,319733000
421411000001103,,421411000001103
19835411000001104,,19835411000001104
303111000001107,,303111000001107
739511000001109,,739511000001109
9798311000001104,,9798311000001104
10418211000001108,,10418211000001108
16071211000001106,,16071211000001106
28988911000001100,,28988911000001100
22735311000001104,,22735311000001104
272711000001102,,272711000001102
524811000001109,,524811000001109
30945211000001104,,30945211000001104
746411000001102,,746411000001102
17876711000001108,,17876711000001108
321511000001106,,321511000001106
34760111000001104,,34760111000001104
437711000001102,,437711000001102
590411000001106,,590411000001106
36843011000001104,,36843011000001104
21919511000001108,,21919511000001108
10138911000001108,,10138911000001108
319734006,,319734006
456711000001104,,456711000001104
19835611000001104,,19835611000001104
555911000001104,,555911000001104
584211000001100,,584211000001100
9798011000001108,,9798011000001108
10418411000001106,,10418411000001106
16071411000001104,,16071411000001104
28989111000001104,,28989111000001104
22735611000001108,,22735611000001108
927211000001109,,927211000001109
772211000001101,,772211000001101
30945411000001108,,30945411000001108
347911000001109,,347911000001109
17876911000001108,,17876911000001108
550411000001100,,550411000001100
34760411000001100,,34760411000001100
508311000001104,,508311000001104
473111000001108,,473111000001108
36844011000001104,,36844011000001104
21919811000001104,,21919811000001104
10139111000001104,,10139111000001104
319735007,,319735007
751611000001108,,751611000001108
19835811000001100,,19835811000001100
642911000001101,,642911000001101
883011000001107,,883011000001107
9797411000001102,,9797411000001102
10418611000001108,,10418611000001108
16071611000001108,,16071611000001108
28989311000001108,,28989311000001108
22736411000001104,,22736411000001104
729811000001109,,729811000001109
36911000001105,,36911000001105
30945711000001104,,30945711000001104
727111000001108,,727111000001108
17877111000001108,,17877111000001108
919811000001107,,919811000001107
34760611000001104,,34760611000001104
617811000001100,,617811000001100
504911000001105,,504911000001105
36844311000001104,,36844311000001104
21920111000001104,,21920111000001104
10139311000001100,,10139311000001100
8798711000001106,,8798711000001106
8798811000001103,,8798811000001103
8730911000001102,,8730911000001102
8732411000001106,,8732411000001106
8798511000001101,,8798511000001101
8798611000001102,,8798611000001102
8728611000001109,,8728611000001109
8729111000001108,,8729111000001108
8798111000001105,,8798111000001105
8798211000001104,,8798211000001104
8729811000001101,,8729811000001101
8730111000001100,,8730111000001100
319736008,,319736008
3659711000001104,,3659711000001104
10305211000001108,,10305211000001108
20538311000001104,,20538311000001104
395111000001106,,395111000001106
10417011000001104,,10417011000001104
22736711000001108,,22736711000001108
622211000001107,,622211000001107
37272811000001104,,37272811000001104
17876511000001102,,17876511000001102
15202611000001100,,15202611000001100
34759911000001108,,34759911000001108
21919311000001100,,21919311000001100
10733911000001106,,10733911000001106
18290011000001104,,18290011000001104
20367411000001100,,20367411000001100
18723611000001100,,18723611000001100
22736911000001104,,22736911000001104
18288311000001104,,18288311000001104
21919111000001104,,21919111000001104
933311000001105,,933311000001105
284011000001104,,284011000001104
461911000001100,,461911000001100
204811000001109,,204811000001109
13532911000001104,,13532911000001104
13532811000001108,,13532811000001108
19469811000001100,,19469811000001100
13504711000001102,,13504711000001102
13505411000001108,,13505411000001108
19465811000001104,,19465811000001104
14254711000001104,,14254711000001104
19842111000001100,,19842111000001100
19842211000001108,,19842211000001108
27810711000001104,,27810711000001104
34819111000001104,,34819111000001104
14237311000001106,,14237311000001106
19840811000001108,,19840811000001108
19841411000001100,,19841411000001100
27160311000001104,,27160311000001104
34793111000001104,,34793111000001104
703907006,,703907006
703908001,,703908001
19506911000001104,,19506911000001104
21677511000001104,,21677511000001104
19524611000001102,VMP previous to 703907006,19524611000001102
21681211000001107,VMP previous to 703908001,21681211000001107
42205811000001107,VMP subsequent to 319740004,42205811000001107
42206411000001101,VMP subsequent to 703907006,42206411000001101
42206511000001102,VMP subsequent to 703908001,42206511000001102
42215311000001101,VMP subsequent to 319745009,42215311000001101
42215411000001108,VMP subsequent to 319746005,42215411000001108
42215511000001107,VMP subsequent to 319747001,42215511000001107
42217511000001103,VMP subsequent to 319733000,42217511000001103
42217611000001104,VMP subsequent to 319734006,42217611000001104
42217811000001100,VMP subsequent to 319736008,42217811000001100
42217911000001105,VMP subsequent to 319735007,42217911000001105
